City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Country,Wind Speed,Current Description
306,Tabou,4.423,-7.3528,76.6,80,87,CI,6.78,overcast clouds
307,Tevaitoa,-16.7833,-151.5,77.2,69,40,PF,14.67,scattered clouds
308,Jimo,36.3897,120.4622,74.98,94,20,CN,2.24,mist
309,Balkhash,46.844,74.9804,77.99,39,4,KZ,10.2,clear sky
310,Maine-Soroa,13.2114,12.0241,81.07,68,90,NE,11.63,overcast clouds
311,Yaan,7.3833,8.5667,71.62,98,100,NG,4.43,moderate rain
312,Oudtshoorn,-33.5907,22.2014,53.96,87,12,ZA,1.7,few clouds
313,Moron,-34.6534,-58.6198,56.01,66,0,AR,2.55,clear sky
314,Altay,47.8667,88.1167,57.54,57,26,CN,3.69,scattered clouds
315,Biskamzha,53.4497,89.5272,50.58,89,8,RU,1.03,clear sky
316,Vung Tau,10.346,107.0843,80.29,84,98,VN,16.08,overcast clouds
317,Hambantota,6.1241,81.1185,77.34,100,0,LK,6.91,clear sky
318,Vila Franca Do Campo,37.7167,-25.4333,72.01,96,87,PT,8.81,overcast clouds
319,Roura,4.7263,-52.3274,84.11,74,0,GF,3.44,clear sky
320,Anadyr,64.75,177.4833,48.7,76,40,RU,2.24,light rain
321,Popondetta,-8.7537,148.2534,77.02,73,99,PG,1.01,overcast clouds
322,Urusha,54.05,122.9,49.69,95,30,RU,2.42,scattered clouds
323,Kiyasovo,56.3491,53.1244,60.82,68,98,RU,4.72,overcast clouds
324,Maryborough,-25.5333,152.7,66.11,88,21,AU,5.91,few clouds
325,Fortuna,40.5982,-124.1573,86.41,69,20,US,3.0,few clouds
326,Adrar,20.5022,-10.0711,95.02,25,29,MR,8.43,scattered clouds
327,Tayga,56.06,85.6197,53.26,96,80,RU,3.58,broken clouds
328,Srednekolymsk,67.45,153.6833,39.13,69,100,RU,10.69,overcast clouds
329,Kieta,-6.2167,155.6333,80.53,79,9,PG,2.26,clear sky
330,Chapais,49.7834,-74.8492,62.38,62,98,CA,7.63,overcast clouds
331,Bathsheba,13.2167,-59.5167,84.81,74,20,BB,10.36,few clouds
332,Laguna,38.421,-121.4238,106.25,30,1,US,5.01,clear sky
333,Hamilton,39.1834,-84.5333,80.89,68,27,US,4.0,scattered clouds
334,Marsa Matruh,31.3525,27.2453,80.8,89,0,EG,9.22,clear sky
335,Vostok,46.4856,135.8833,68.32,76,41,RU,2.59,scattered clouds
336,Kaitangata,-46.2817,169.8464,45.75,93,32,NZ,4.5,scattered clouds
337,Altamira,-3.2033,-52.2064,78.89,94,20,BR,0.0,few clouds
338,Doha,25.2867,51.5333,94.98,63,0,QA,0.0,clear sky
339,Tenza,5.0766,-73.4208,63.72,96,93,CO,3.87,overcast clouds
340,Havre-Saint-Pierre,50.2334,-63.5986,61.16,77,40,CA,16.11,scattered clouds
341,Ulaangom,49.9811,92.0667,56.62,59,91,MN,2.48,overcast clouds
342,Kitgum,3.2783,32.8867,67.66,85,100,UG,3.36,overcast clouds
343,Fujin,47.26,132.0322,72.19,68,100,CN,8.61,overcast clouds
344,Rurrenabaque,-14.4413,-67.5278,80.49,54,75,BO,4.61,broken clouds
345,Gasa,31.5,34.4667,80.58,64,0,PS,2.33,clear sky
